k,hfa,regress,gd_mode,logloss,brier,acc
40,40,0.0,wfe,0.9621249101105718,0.5702302247083785,0.5476884631403582
80,100,0.3,wfe,0.9621616348846199,0.5705001811794973,0.5481049562682215
80,20,0.2,wfe,0.962163546624748,0.5704814301904402,0.5481049562682215
80,0,0.1,wfe,0.9621815953143599,0.5704243175476812,0.5518533944189921
56,100,0.0,wfe,0.9621934761441165,0.570277596629381,0.5522698875468555
80,80,0.3,wfe,0.9621993110878505,0.5705292029521497,0.5460224906289046
64,40,0.0,wfe,0.9622023953158196,0.5702794609382514,0.5535193669304457
64,20,0.0,wfe,0.9622061022144124,0.570278357040362,0.5535193669304457
64,60,0.0,wfe,0.9622361307075341,0.5703064946910562,0.5535193669304457
80,0,0.2,wfe,0.9622397420093782,0.5705318316063506,0.5489379425239483
64,0,0.0,wfe,0.9622442056354785,0.5703009848403467,0.5535193669304457
80,60,0.3,wfe,0.9622561085433978,0.5705706076219382,0.5460224906289046
48,100,0.0,wfe,0.9622596899093384,0.5703243400106667,0.5510204081632653
40,60,0.0,wfe,0.9622748926360682,0.5703387623058771,0.5481049562682215
80,100,0.4,wfe,0.9623020711244286,0.5706020612613614,0.5468554768846314
64,80,0.0,wfe,0.9623097516134956,0.5703612681431,0.5539358600583091
80,40,0.3,wfe,0.9623286057859761,0.5706217612998843,0.5481049562682215
80,80,0.4,wfe,0.9623577748229935,0.570644863052125,0.5489379425239483
80,100,0.5,wfe,0.9624034788963359,0.5706724598338817,0.5460224906289046
80,20,0.3,wfe,0.962413002690938,0.57067982110437,0.5489379425239483
64,100,0.0,wfe,0.9624248868321422,0.5704450327719675,0.550603915035402
80,60,0.4,wfe,0.962432644455386,0.570700025913584,0.5481049562682215
80,80,0.5,wfe,0.962475380962702,0.5707277423222769,0.5472719700124948
40,80,0.0,wfe,0.9624882225754762,0.5704922774578018,0.5497709287796751
80,0,0.3,wfe,0.9625053425520677,0.5707419017160145,0.5472719700124948
80,40,0.4,wfe,0.9625234762265755,0.5707650727453921,0.5481049562682215
80,60,0.5,wfe,0.9625666851379941,0.5707955791079978,0.5460224906289046
80,20,0.4,wfe,0.9626266106576861,0.5708372601957359,0.5476884631403582
80,40,0.5,wfe,0.9626744165482151,0.5708736555505466,0.5460224906289046
80,0,0.4,wfe,0.9627381173865135,0.570913719641748,0.5472719700124948
40,100,0.0,wfe,0.9627630808849773,0.5706896150089158,0.550603915035402
80,20,0.5,wfe,0.9627950456146912,0.5709593165223608,0.5460224906289046
80,0,0.5,wfe,0.9629246753260439,0.5710497081629529,0.5443565181174511
32,0,0.0,wfe,0.9630178388748042,0.5708845180238099,0.5468554768846314
