TEAMS
Çetinkaya TSK
Küçük Kaymaklı TSK
Lapta Türk Birliği SK
Bellapais Tatlısu HOSK
Bostancı Bağcıl SK
Doğan Türk Birliği
Düzkaya KOSK
Mağusa Türk Gücü
Görneç KSK
Binatlı YSK
Ozanköy SK
Çanakkale TSK
Gençlik Gücü TSK
Alsancak Yeşilova SK
Türk Ocağı Limasol SK
Lefke TSK
Gönyeli SK
Yenicami AK
Göçmenköy İYSK
Cihangir GSK
Yonpaş Dumlupınar TSK
Hamitköy ŞHSK
Yeni Mesarya Türkmenköy ASK
Mormenekşe GBSK
Yeniboğaziçi DSK
Esentepe KSKK
Baf Ülkü Yurdu
Serdarlı GB
Yalova SK
Vadili TÇBSK
DND L. Gençler Birliği SK
Değirmenlik Spor Kulübü
Akıncılar GSK
Geçitkale GSK
Denizli SK
GAÜ Çetinkaya TSK
M. Karşıyaka ASK
Girne Halk Evi SK
Mehmetçik TÇBSK
German Gold Akova Vuda TÇBSK
Mesarya SK
Dipkarpaz SK
Maraş GSK
Doğancı SK
Dumlupınar TSK
Dörtyol SK
İncirli SK
China Bazaar Gençlik Gücü TSK
Değirmenlik SK
M. Hacıali Yılmazköy SK
Pera L. Gençler Birliği SK
Karşıyaka SK
Yenierenköy TSK
Kozanköy KSK
Aslanköy GSD
Kaplıca Karadeniz 61 SK
Çello Dikmen Gücü SK
Karaoğlanoğlu SK
Akdoğan SK
MATCHES
lg,date,time,mid,h,a,hg,ag,forfeit
2,20120317,1430,2087,24,10,0,2,0
2,20120317,1430,2088,21,11,6,0,0
2,20120317,1430,2089,27,9,7,0,0
1,20120318,1430,2035,6,2,0,1,0
1,20120318,1430,2036,16,14,1,4,0
1,20120318,1430,2037,17,3,5,1,0
2,20120318,1430,2090,22,8,1,1,0
2,20120318,1430,2091,20,23,1,2,0
2,20120318,1430,2092,26,12,1,2,0
2,20120318,1430,2093,25,13,3,0,0
2,20120324,1530,2101,8,27,0,2,0
2,20120324,1530,2102,23,11,7,0,0
2,20120324,1530,2103,10,26,1,0,0
2,20120324,1530,2104,9,25,1,1,0
2,20120324,1530,2105,20,24,1,2,0
2,20120324,1530,2106,12,22,1,0,0
2,20120324,1530,2107,13,21,0,1,0
1,20120325,1530,2045,0,7,3,0,0
1,20120325,1530,2046,14,6,5,4,0
1,20120325,1530,2047,19,15,3,1,0
1,20120325,1530,2048,2,18,2,0,0
1,20120325,1530,2049,1,17,0,3,0
1,20120325,1530,2050,4,16,2,1,0
1,20120325,1530,2051,3,5,1,2,0
1,20120330,1900,2059,17,0,1,3,0
1,20120331,1530,2060,5,1,0,2,0
1,20120331,1530,2061,7,2,4,1,0
1,20120331,1530,2062,18,14,3,0,0
1,20120331,1530,2063,16,19,1,0,0
1,20120331,1530,2064,15,3,1,0,0
1,20120331,1530,2072,6,4,2,2,0
2,20120401,1530,2115,21,9,3,1,0
2,20120401,1530,2116,25,8,1,1,0
2,20120401,1530,2117,27,12,2,1,0
2,20120401,1530,2118,26,20,1,3,0
2,20120401,1530,2119,22,10,3,0,0
2,20120401,1530,2120,11,13,2,0,0
2,20120401,1530,2121,24,23,1,3,0
1,20120407,1530,2319,14,7,2,5,0
1,20120407,1530,2320,2,17,2,1,0
1,20120407,1530,2321,19,3,1,0,0
1,20120407,1530,2322,16,6,1,3,0
1,20120407,1530,2323,4,18,3,0,0
1,20120408,1530,2324,0,5,2,1,0
1,20120408,1530,2325,1,15,1,0,0
2,20120408,1530,2333,24,26,2,1,0
2,20120408,1530,2334,20,22,1,1,0
2,20120408,1530,2335,10,27,0,1,0
2,20120408,1530,2336,12,25,3,1,0
2,20120408,1530,2337,8,21,1,7,0
2,20120408,1530,2338,9,11,6,0,0
2,20120408,1530,2339,23,13,1,3,0
1,20120414,1600,2347,15,0,2,1,0
1,20120414,1600,2348,17,14,8,1,0
1,20120414,1600,2349,7,4,1,1,0
1,20120414,1600,2350,18,16,4,2,0
1,20120414,1600,2351,3,1,4,3,0
1,20120414,1600,2352,5,2,4,0,0
1,20120414,1600,2353,6,19,1,4,0
2,20120415,1600,2361,11,8,0,4,0
2,20120415,1600,2362,25,10,2,3,0
2,20120415,1600,2363,22,24,1,0,0
2,20120415,1600,2364,13,9,0,2,0
2,20120415,1600,2365,21,12,1,1,0
2,20120415,1600,2366,27,20,2,1,0
2,20120415,1600,2367,26,23,1,2,0
1,20120418,1600,1852,15,14,2,2,0
1,20120418,1600,1853,19,18,5,1,0
1,20120418,1600,1854,1,0,8,1,0
1,20120418,1600,1855,17,16,1,0,0
1,20120418,1600,1856,3,2,1,2,0
1,20120418,1600,1857,5,4,5,0,0
1,20120418,1600,1858,7,6,3,0,1
2,20120418,1600,1936,21,20,3,0,1
2,20120418,1600,1937,27,26,1,2,0
2,20120418,1600,1938,11,10,3,0,1
2,20120418,1600,1939,23,22,3,3,0
2,20120418,1600,1940,25,24,2,0,0
2,20120418,1600,1941,9,8,3,0,0
2,20120418,1600,1942,13,12,1,2,0
2,20120419,1900,2394,12,11,1,2,0
1,20120421,1600,2375,16,7,2,4,0
1,20120421,1600,2376,4,17,2,0,0
1,20120421,1600,2377,0,3,4,2,0
1,20120421,1600,2378,6,18,2,0,0
1,20120421,1600,2379,14,5,2,2,0
1,20120421,1600,2380,2,15,2,1,0
1,20120421,1600,2381,1,19,1,2,0
2,20120421,1600,2389,24,27,1,1,0
2,20120421,1600,2390,10,21,3,2,0
2,20120421,1600,2391,8,13,4,3,0
2,20120421,1600,2392,26,22,5,0,0
2,20120421,1600,2393,20,25,2,2,0
2,20120421,1600,2395,9,23,3,0,0
2,20120421,1300,2401,12,11,8,1,0
1,20120928,1900,2718,0,2,1,0,0
1,20120929,1600,2719,5,19,1,1,0
1,20120929,1600,2720,17,1,0,2,0
1,20120929,1600,2721,18,4,0,5,0
2,20120929,1600,2732,28,10,2,0,0
2,20120929,1600,2733,23,24,2,0,0
2,20120929,1600,2734,3,22,0,0,0
1,20120930,1600,2722,21,27,2,1,0
1,20120930,1600,2723,7,14,1,2,0
1,20120930,1600,2724,12,15,1,0,0
2,20120930,1600,2735,16,8,2,0,0
2,20120930,1600,2736,6,20,1,1,0
2,20120930,1600,2737,9,29,0,0,0
2,20120930,1600,2738,30,25,1,1,0
1,20121006,1600,2747,27,5,3,2,0
1,20121006,1600,2748,15,17,3,1,0
1,20121006,1600,2749,2,12,1,2,0
1,20121006,1600,2750,14,0,1,1,0
2,20121006,1600,2789,8,6,0,4,0
2,20121006,1600,2790,24,3,1,0,0
2,20121006,1600,2791,29,23,1,1,0
2,20121006,1600,2792,20,28,1,5,0
1,20121007,1600,2751,4,7,1,1,0
1,20121007,1600,2752,19,18,4,0,0
1,20121007,1600,2753,1,21,2,0,0
2,20121007,1600,2793,22,30,1,0,0
2,20121007,1600,2794,10,9,4,1,0
2,20121007,1600,2795,25,16,2,2,0
1,20121012,1830,2761,0,4,4,0,0
1,20121013,1530,2763,7,19,0,0,0
1,20121013,1530,2764,12,14,0,2,0
2,20121013,1530,2803,6,16,4,3,0
2,20121013,1530,2804,9,20,1,5,0
2,20121013,1530,2805,23,10,2,2,0
1,20121014,1530,2762,5,21,2,0,0
1,20121014,1530,2765,15,1,0,0,0
1,20121014,1530,2766,18,27,0,2,0
1,20121014,1530,2767,17,2,2,1,0
2,20121014,1530,2806,28,8,3,2,0
2,20121014,1530,2807,3,29,3,1,0
2,20121014,1530,2808,22,25,0,2,0
2,20121014,1530,2809,30,24,1,4,0
1,20121020,1530,2775,27,7,1,1,0
1,20121020,1530,2776,21,18,2,1,0
1,20121020,1530,2777,2,15,1,0,0
1,20121020,1530,2781,1,5,3,1,0
2,20121020,1530,2818,16,28,1,1,0
2,20121020,1530,2819,24,22,2,1,0
2,20121020,1530,2820,29,30,1,3,0
1,20121021,1530,2778,19,0,3,1,0
1,20121021,1530,2779,14,17,0,1,0
1,20121021,1315,2787,4,12,0,5,0
2,20121021,1530,2817,8,9,2,1,0
2,20121021,1530,2821,10,3,8,2,0
2,20121021,1530,2822,20,23,1,5,0
2,20121021,1530,2823,25,6,3,3,0
1,20121024,1530,2780,4,12,4,1,0
2,20121024,1530,2798,29,23,2,1,0
1,20121027,1430,2831,18,5,0,4,0
1,20121027,1830,2832,0,27,5,0,0
1,20121027,1430,2833,15,14,3,2,0
2,20121027,1430,2859,28,6,3,0,0
2,20121027,1430,2860,23,8,0,1,0
2,20121027,1430,2861,3,20,4,0,0
2,20121027,1430,2862,30,10,1,3,0
2,20121027,1430,2863,22,29,3,0,0
1,20121028,1430,2834,7,21,3,4,0
1,20121028,1430,2835,12,19,2,4,0
1,20121028,1430,2836,17,4,2,0,0
1,20121028,1430,2837,2,1,2,7,0
2,20121028,1430,2864,9,16,0,0,0
2,20121028,1430,2865,24,25,0,0,0
1,20121103,1430,2845,5,7,0,1,0
1,20121103,1430,2846,4,15,3,1,0
1,20121103,1430,2847,19,17,1,3,0
1,20121103,1430,2848,1,18,3,1,0
2,20121103,1430,2873,16,23,3,3,0
2,20121103,1430,2874,6,9,3,0,0
2,20121103,1430,2875,29,24,1,1,0
2,20121103,1430,2876,25,28,2,1,0
1,20121104,1430,2849,27,12,2,4,0
1,20121104,1430,2850,21,0,2,4,0
1,20121104,1430,2851,14,2,3,1,0
2,20121104,1430,2877,8,3,1,3,0
2,20121104,1430,2878,10,22,5,2,0
2,20121104,1430,2879,20,30,0,3,0
1,20121109,1800,2928,12,21,0,2,0
1,20121110,1400,2929,17,27,4,0,0
1,20121110,1400,2930,15,19,2,1,0
1,20121110,1400,2931,2,4,0,1,0
2,20121110,1400,2984,23,6,1,1,0
2,20121110,1400,2985,30,8,1,0,0
